=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
Setting cpu: 36
Setting cpu: 37
Setting cpu: 38
Setting cpu: 39
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: ivy_c8220) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [253/1638] t=8 m=1000 w=100 | elapsed=7618s eta=41703s
  [254/1638] t=8 m=2000 w=100 | elapsed=7648s eta=41672s
  [255/1638] t=8 m=3000 w=100 | elapsed=7678s eta=41641s
  [256/1638] t=8 m=5000 w=100 | elapsed=7708s eta=41611s
  [257/1638] t=8 m=7000 w=100 | elapsed=7738s eta=41580s
  [258/1638] t=8 m=10000 w=100 | elapsed=7768s eta=41549s
  [259/1638] t=8 m=20000 w=100 | elapsed=7798s eta=41519s
  [260/1638] t=8 m=50000 w=100 | elapsed=7828s eta=41488s
  [261/1638] t=16 m=0 w=100 | elapsed=7858s eta=41457s
  [262/1638] t=16 m=10 w=100 | elapsed=7889s eta=41432s
  [263/1638] t=16 m=20 w=100 | elapsed=7919s eta=41401s
  [264/1638] t=16 m=30 w=100 | elapsed=7949s eta=41370s
  [265/1638] t=16 m=40 w=100 | elapsed=7979s eta=41340s
  [266/1638] t=16 m=50 w=100 | elapsed=8009s eta=41309s
  [267/1638] t=16 m=60 w=100 | elapsed=8039s eta=41278s
  [268/1638] t=16 m=70 w=100 | elapsed=8069s eta=41248s
  [269/1638] t=16 m=80 w=100 | elapsed=8099s eta=41217s
  [270/1638] t=16 m=90 w=100 | elapsed=8129s eta=41186s
  [271/1638] t=16 m=100 w=100 | elapsed=8160s eta=41161s
  [272/1638] t=16 m=150 w=100 | elapsed=8190s eta=41130s
  [273/1638] t=16 m=200 w=100 | elapsed=8220s eta=41100s
  [274/1638] t=16 m=250 w=100 | elapsed=8250s eta=41069s
